t,x,u
0,1.16558,1.45951
0,1.17059,1.46049
0,1.17559,1.46146
0,1.18059,1.46242
0,1.18559,1.46336
0,1.1906,1.4643
0,1.1956,1.46522
0,1.2006,1.46613
0,1.2056,1.46703
0,1.21061,1.46791
0,1.21561,1.46879
0,1.22061,1.46965
0,1.22561,1.47051
0,1.23062,1.47135
0,1.23562,1.47218
0,1.24062,1.47299
0,1.24562,1.4738
0,1.25063,1.47459
0,1.25563,1.47537
0,1.26063,1.47614
0,1.26563,1.4769
0,1.27064,1.47764
0,1.27564,1.47838
0,1.28064,1.4791
0,1.28564,1.47981
0,1.29065,1.48051
0,1.29565,1.48119
0,1.30065,1.48187
0,1.30565,1.48253
0,1.31066,1.48318
0,1.31566,1.48381
0,1.32066,1.48444
0,1.32566,1.48505
0,1.33067,1.48565
0,1.33567,1.48624
0,1.34067,1.48682
0,1.34567,1.48738
0,1.35068,1.48794
0,1.35568,1.48848
0,1.36068,1.489
0,1.36568,1.48952
0,1.37069,1.49002
0,1.37569,1.49051
0,1.38069,1.49099
0,1.38569,1.49146
0,1.3907,1.49191
0,1.3957,1.49235
0,1.4007,1.49278
0,1.4057,1.4932
0,1.41071,1.49361
0,1.41571,1.494
0,1.42071,1.49438
0,1.42571,1.49475
0,1.43072,1.4951
0,1.43572,1.49545
0,1.44072,1.49578
0,1.44572,1.49609
0,1.45073,1.4964
0,1.45573,1.49669
0,1.46073,1.49697
0,1.46573,1.49724
0,1.47074,1.4975
0,1.47574,1.49774
0,1.48074,1.49797
0,1.48574,1.49819
0,1.49075,1.4984
0,1.49575,1.49859
0,1.50075,1.49877
0,1.50575,1.49894
0,1.51076,1.4991
0,1.51576,1.49924
0,1.52076,1.49937
0,1.52576,1.49949
0,1.53077,1.4996
0,1.53577,1.49969
0,1.54077,1.49977
0,1.54577,1.49984
0,1.55078,1.4999
0,1.55578,1.49994
0,1.56078,1.49997
0,1.56578,1.49999
0,1.57079,1.5
0,1.57579,1.49999
0,1.58079,1.49998
0,1.58579,1.49994
0,1.5908,1.4999
0,1.5958,1.49984
0,1.6008,1.49977
0,1.6058,1.49969
0,1.61081,1.4996
0,1.61581,1.49949
0,1.62081,1.49937
0,1.62581,1.49924
0,1.63082,1.4991
0,1.63582,1.49894
0,1.64082,1.49877
0,1.64582,1.49859
0,1.65083,1.4984
0,1.65583,1.49819
0,1.66083,1.49797
0,1.66583,1.49774
0,1.67084,1.4975
0,1.67584,1.49724
0,1.68084,1.49698
0,1.68584,1.49669
0,1.69085,1.4964
0,1.69585,1.4961
0,1.70085,1.49578
0,1.70585,1.49545
0,1.71086,1.4951
0,1.71586,1.49475
0,1.72086,1.49438
0,1.72586,1.494
0,1.73087,1.49361
0,1.73587,1.4932
0,1.74087,1.49279
0,1.74587,1.49236
0,1.75088,1.49191
0,1.75588,1.49146
0,1.76088,1.49099
0,1.76588,1.49052
0,1.77089,1.49002
0,1.77589,1.48952
0,1.78089,1.48901
0,1.78589,1.48848
0,1.7909,1.48794
0,1.7959,1.48739
0,1.8009,1.48682
0,1.8059,1.48624
0,1.81091,1.48566
0,1.81591,1.48506
0,1.82091,1.48444
0,1.82591,1.48382
0,1.83092,1.48318
0,1.83592,1.48253
0,1.84092,1.48187
0,1.84592,1.4812
0,1.85093,1.48051
0,1.85593,1.47981
0,1.86093,1.4791
0,1.86593,1.47838
0,1.87094,1.47765
0,1.87594,1.4769
0,1.88094,1.47614
0,1.88594,1.47538
0,1.89095,1.47459
0,1.89595,1.4738
0,1.90095,1.473
0,1.90595,1.47218
0,1.91096,1.47135
0,1.91596,1.47051
0,1.92096,1.46966
0,1.92596,1.46879
0,1.93097,1.46792
0,1.93597,1.46703
0,1.94097,1.46613
0,1.94597,1.46522
0,1.95098,1.4643
0,1.95598,1.46337
0,1.96098,1.46242
0,1.96598,1.46146
0,1.97099,1.46049
0,1.97599,1.45951
0,1.98099,1.45852
0,1.98599,1.45752
0,1.991,1.4565
0,1.996,1.45548
0,2.001,1.45444
0,2.006,1.45339
0,2.01101,1.45233
0,2.01601,1.45126
0,2.02101,1.45018
0,2.02601,1.44908
0,2.03102,1.44798
0,2.03602,1.44686
0,2.04102,1.44573
0,2.04602,1.44459
0,2.05103,1.44344
0,2.05603,1.44228
0,2.06103,1.44111
0,2.06603,1.43993
0,2.07104,1.43873
0,2.07604,1.43753
0,2.08104,1.43631
0,2.08604,1.43509
0,2.09105,1.43385
0,2.09605,1.4326
0,2.10105,1.43134
0,2.10605,1.43007
0,2.11106,1.42879
0,2.11606,1.4275
0,2.12106,1.42619
0,2.12606,1.42488
0,2.13107,1.42356
0,2.13607,1.42222
0,2.14107,1.42088
0,2.14607,1.41952
0,2.15108,1.41815
0,2.15608,1.41678
0,2.16108,1.41539
0,2.16608,1.41399
0,2.17109,1.41259
0,2.17609,1.41117
0,2.18109,1.40974
0,2.18609,1.4083
0,2.1911,1.40685
0,2.1961,1.40539
0,2.2011,1.40392
0,2.2061,1.40244
0,2.21111,1.40096
0,2.21611,1.39946
0,2.22111,1.39795
0,2.22611,1.39643
0,2.23112,1.3949
0,2.23612,1.39336
0,2.24112,1.39181
0,2.24612,1.39025
0,2.25113,1.38868
0,2.25613,1.3871
0,2.26113,1.38552
0,2.26613,1.38392
0,2.27114,1.38231
0,2.27614,1.3807
0,2.28114,1.37907
0,2.28614,1.37743
0,2.29115,1.37579
0,2.29615,1.37413
0,2.30115,1.37247
0,2.30615,1.3708
0,2.31116,1.36911
0,2.31616,1.36742
0,2.32116,1.36572
0,2.32616,1.36401
0,2.33117,1.36229
0,2.33617,1.36056
0,2.34117,1.35883
0,2.34617,1.35708
0,2.35118,1.35532
0,2.35618,1.35356
0,2.36118,1.35179
0,2.36618,1.35
0,2.37119,1.34821
0,2.37619,1.34641
0,2.38119,1.34461
0,2.38619,1.34279
0,2.3912,1.34096
0,2.3962,1.33913
0,2.4012,1.33729
0,2.4062,1.33544
0,2.41121,1.33358
0,2.41621,1.33171
0,2.42121,1.32984
0,2.42621,1.32795
0,2.43122,1.32606
0,2.43622,1.32416
0,2.44122,1.32225
0,2.44622,1.32033
0,2.45123,1.31841
0,2.45623,1.31648
0,2.46123,1.31454
0,2.46623,1.31259
0,2.47124,1.31063
0,2.47624,1.30867
0,2.48124,1.3067
0,2.48624,1.30472
0,2.49125,1.30273
0,2.49625,1.30074
