t,x,u
0,4.88809,0.507698
0,4.90907,0.509639
0,4.93005,0.511797
0,4.95102,0.514169
0,4.972,0.516755
0,4.99298,0.519554
0,5.01396,0.522565
0,5.03494,0.525785
0,5.05592,0.529214
0,5.0769,0.53285
0,5.09788,0.536692
0,5.11886,0.540738
0,5.13983,0.544986
0,5.16081,0.549434
0,5.18179,0.554081
0,5.20277,0.558924
0,5.22375,0.56396
0,5.24473,0.569189
0,5.26571,0.574607
0,5.28669,0.580213
0,5.30767,0.586003
0,5.32864,0.591976
0,5.34962,0.598128
0,5.3706,0.604457
0,5.39158,0.61096
0,5.41256,0.617634
0,5.43354,0.624477
0,5.45452,0.631484
0,5.4755,0.638654
0,5.49648,0.645983
0,5.51745,0.653468
0,5.53843,0.661105
0,5.55941,0.668892
0,5.58039,0.676824
0,5.60137,0.684898
0,5.62235,0.693112
0,5.64333,0.70146
0,5.66431,0.709939
0,5.68529,0.718546
0,5.70627,0.727277
0,5.72724,0.736128
0,5.74822,0.745096
0,5.7692,0.754175
0,5.79018,0.763363
0,5.81116,0.772654
0,5.83214,0.782046
0,5.85312,0.791534
0,5.8741,0.801113
0,5.89508,0.81078
0,5.91605,0.82053
0,5.93703,0.83036
0,5.95801,0.840264
0,5.97899,0.850238
0,5.99997,0.860278
0,6.02095,0.870379
0,6.04193,0.880538
0,6.06291,0.890749
0,6.08389,0.901009
0,6.10486,0.911311
0,6.12584,0.921653
0,6.14682,0.93203
0,6.1678,0.942436
0,6.18878,0.952868
0,6.20976,0.96332
0,6.23074,0.973788
0,6.25172,0.984268
0,6.2727,0.994755
0,6.29367,1.00524
0,6.31465,1.01573
0,6.33563,1.02621
0,6.35661,1.03668
0,6.37759,1.04713
0,6.39857,1.05756
0,6.41955,1.06797
0,6.44053,1.07835
0,6.46151,1.08869
0,6.48249,1.09899
0,6.50346,1.10925
0,6.52444,1.11946
0,6.54542,1.12962
0,6.5664,1.13972
0,6.58738,1.14976
0,6.60836,1.15974
0,6.62934,1.16964
0,6.65032,1.17947
0,6.6713,1.18922
0,6.69227,1.19889
0,6.71325,1.20847
0,6.73423,1.21795
0,6.75521,1.22735
0,6.77619,1.23664
0,6.79717,1.24582
0,6.81815,1.2549
0,6.83913,1.26387
0,6.86011,1.27272
0,6.88108,1.28145
0,6.90206,1.29006
0,6.92304,1.29854
0,6.94402,1.30689
0,6.965,1.3151
0,6.98598,1.32318
0,7.00696,1.33111
0,7.02794,1.33889
0,7.04892,1.34653
0,7.06989,1.35402
0,7.09087,1.36135
0,7.11185,1.36852
0,7.13283,1.37552
0,7.15381,1.38237
0,7.17479,1.38904
0,7.19577,1.39554
0,7.21675,1.40187
0,7.23773,1.40802
0,7.2587,1.414
0,7.27968,1.41979
0,7.30066,1.42539
0,7.32164,1.43081
0,7.34262,1.43604
0,7.3636,1.44108
0,7.38458,1.44592
0,7.40556,1.45057
0,7.42654,1.45501
0,7.44752,1.45926
0,7.46849,1.46331
0,7.48947,1.46715
0,7.51045,1.47079
0,7.53143,1.47421
0,7.55241,1.47744
0,7.57339,1.48045
0,7.59437,1.48324
0,7.61535,1.48583
0,7.63633,1.4882
0,7.6573,1.49036
0,7.67828,1.4923
0,7.69926,1.49403
0,7.72024,1.49554
0,7.74122,1.49682
0,7.7622,1.4979
0,7.78318,1.49875
0,7.80416,1.49938
0,7.82514,1.49979
0,7.84611,1.49998
0,7.86709,1.49996
0,7.88807,1.49971
0,7.90905,1.49924
0,7.93003,1.49855
0,7.95101,1.49765
0,7.97199,1.49652
0,7.99297,1.49518
0,8.01395,1.49362
0,8.03492,1.49184
0,8.0559,1.48984
0,8.07688,1.48763
0,8.09786,1.4852
0,8.11884,1.48256
0,8.13982,1.47971
0,8.1608,1.47665
0,8.18178,1.47338
0,8.20276,1.4699
0,8.22374,1.46621
0,8.24471,1.46232
0,8.26569,1.45822
0,8.28667,1.45392
0,8.30765,1.44942
0,8.32863,1.44473
0,8.34961,1.43984
0,8.37059,1.43475
0,8.39157,1.42947
0,8.41255,1.42401
0,8.43352,1.41836
0,8.4545,1.41252
0,8.47548,1.4065
0,8.49646,1.40031
0,8.51744,1.39393
0,8.53842,1.38739
0,8.5594,1.38067
0,8.58038,1.37379
0,8.60136,1.36674
0,8.62233,1.35953
0,8.64331,1.35216
0,8.66429,1.34464
0,8.68527,1.33696
0,8.70625,1.32914
0,8.72723,1.32117
0,8.74821,1.31306
0,8.76919,1.30481
0,8.79017,1.29643
0,8.81114,1.28792
0,8.83212,1.27928
0,8.8531,1.27052
0,8.87408,1.26164
0,8.89506,1.25264
0,8.91604,1.24354
0,8.93702,1.23432
0,8.958,1.22501
0,8.97898,1.21559
0,8.99995,1.20608
0,9.02093,1.19648
0,9.04191,1.18679
0,9.06289,1.17702
0,9.08387,1.16717
0,9.10485,1.15725
0,9.12583,1.14726
0,9.14681,1.1372
0,9.16779,1.12709
0,9.18877,1.11691
0,9.20974,1.10669
0,9.23072,1.09642
0,9.2517,1.08611
0,9.27268,1.07576
0,9.29366,1.06537
0,9.31464,1.05496
0,9.33562,1.04452
0,9.3566,1.03406
0,9.37758,1.02359
0,9.39855,1.01311
0,9.41953,1.00262
0,9.44051,0.992133
0,9.46149,0.981648
0,9.48247,0.97117
0,9.50345,0.960705
0,9.52443,0.950257
0,9.54541,0.939832
0,9.56639,0.929433
0,9.58736,0.919064
0,9.60834,0.908732
0,9.62932,0.898439
0,9.6503,0.888192
0,9.67128,0.877993
0,9.69226,0.867848
0,9.71324,0.857762
0,9.73422,0.847738
0,9.7552,0.837781
0,9.77617,0.827895
0,9.79715,0.818085
0,9.81813,0.808355
0,9.83911,0.79871
0,9.86009,0.789153
0,9.88107,0.779689
0,9.90205,0.770322
0,9.92303,0.761056
0,9.94401,0.751895
0,9.96499,0.742843
0,9.98596,0.733905
0,10.0069,0.725083
0,10.0279,0.716383
0,10.0489,0.707807
0,10.0699,0.69936
0,10.0909,0.691045
0,10.1118,0.682867
0,10.1328,0.674828
0,10.1538,0.666931
0,10.1748,0.659182
0,10.1958,0.651583
0,10.2167,0.644136
0,10.2377,0.636847
0,10.2587,0.629717
0,10.2797,0.62275
0,10.3006,0.61595
0,10.3216,0.609318
0,10.3426,0.602858
0,10.3636,0.596573
0,10.3846,0.590466
0,10.4055,0.584539
0,10.4265,0.578794
0,10.4475,0.573235
0,10.4685,0.567864
0,10.4895,0.562683
0,10.5104,0.557695
0,10.5314,0.552901
0,10.5524,0.548304
0,10.5734,0.543905
0,10.5944,0.539708
0,10.6153,0.535713
0,10.6363,0.531922
0,10.6573,0.528337
0,10.6783,0.52496
0,10.6992,0.521792
0,10.7202,0.518835
0,10.7412,0.516089
0,10.7622,0.513556
0,10.7832,0.511237
0,10.8041,0.509134
0,10.8251,0.507246
0,10.8461,0.505575
0,10.8671,0.504122
0,10.8881,0.502887
0,10.909,0.501871
0,10.93,0.501074
0,10.951,0.500497
0,10.972,0.500139
0,10.993,0.500002
0,11.0139,0.500084
0,11.0349,0.500387
0,11.0559,0.500909
0,11.0769,0.501651
0,11.0978,0.502613
0,11.1188,0.503793
0,11.1398,0.505192
0,11.1608,0.506808
0,11.1818,0.508641
0,11.2027,0.510691
0,11.2237,0.512956
0,11.2447,0.515436
0,11.2657,0.518128
0,11.2867,0.521033
0,11.3076,0.524149
0,11.3286,0.527474
0,11.3496,0.531007
0,11.3706,0.534746
0,11.3916,0.53869
0,11.4125,0.542837
0,11.4335,0.547185
0,11.4545,0.551733
0,11.4755,0.556478
0,11.4964,0.561418
0,11.5174,0.566551
0,11.5384,0.571875
0,11.5594,0.577387
0,11.5804,0.583085
0,11.6013,0.588967
0,11.6223,0.59503
0,11.6433,0.60127
0,11.6643,0.607687
0,11.6853,0.614276
0,11.7062,0.621035
0,11.7272,0.62796
0,11.7482,0.635049
0,11.7692,0.642299
0,11.7902,0.649706
0,11.8111,0.657268
0,11.8321,0.66498
0,11.8531,0.67284
0,11.8741,0.680844
0,11.895,0.688988
0,11.916,0.697269
0,11.937,0.705683
0,11.958,0.714227
0,11.979,0.722897
0,11.9999,0.731688
0,12.0209,0.740598
0,12.0419,0.749622
0,12.0629,0.758756
0,12.0839,0.767996
0,12.1048,0.777338
0,12.1258,0.786778
0,12.1468,0.796312
0,12.1678,0.805936
0,12.1888,0.815645
0,12.2097,0.825435
0,12.2307,0.835303
0,12.2517,0.845242
0,12.2727,0.85525
0,12.2936,0.865321
0,12.3146,0.875452
0,12.3356,0.885637
0,12.3566,0.895873
0,12.3776,0.906155
0,12.3985,0.916478
0,12.4195,0.926837
0,12.4405,0.937229
0,12.4615,0.947649
0,12.4825,0.958091
0,12.5034,0.968552
0,12.5244,0.979027
0,12.5454,0.989511
0,12.5664,1
0.5,0,0.799167
0.5,0.0209789,0.806856
0.5,0.0419578,0.814682
0.5,0.0629367,0.82246
0.5,0.0839157,0.830408
0.5,0.104895,0.838264
0.5,0.125873,0.846335
0.5,0.146852,0.854261
0.5,0.167831,0.862458
0.5,0.18881,0.870445
0.5,0.209789,0.878768
0.5,0.230768,0.886806
0.5,0.251747,0.895255
0.5,0.272726,0.903337
0.5,0.293705,0.911908
0.5,0.314684,0.920025
0.5,0.335663,0.928711
0.5,0.356642,0.936854
0.5,0.37762,0.945641
0.5,0.398599,0.953806
0.5,0.419578,0.962674
0.5,0.440557,0.970853
0.5,0.461536,0.97978
0.5,0.482515,0.987967
0.5,0.503494,0.996924
0.5,0.524473,1.00511
0.5,0.545452,1.01407
0.5,0.566431,1.02226
0.5,0.58741,1.03118
0.5,0.608389,1.03937
0.5,0.629367,1.04823
0.5,0.650346,1.0564
0.5,0.671325,1.06518
0.5,0.692304,1.07333
0.5,0.713283,1.082
0.5,0.734262,1.09013
0.5,0.755241,1.09868
0.5,0.77622,1.10677
0.5,0.797199,1.11521
0.5,0.818178,1.12325
0.5,0.839157,1.13156
0.5,0.860136,1.13955
0.5,0.881114,1.14773
0.5,0.902093,1.15566
0.5,0.923072,1.16372
0.5,0.944051,1.17158
0.5,0.96503,1.17951
0.5,0.986009,1.1873
0.5,1.00699,1.19511
0.5,1.02797,1.2028
0.5,1.04895,1.2105
0.5,1.06992,1.2181
0.5,1.0909,1.22567
0.5,1.11188,1.23316
0.5,1.13286,1.24061
0.5,1.15384,1.24799
0.5,1.17482,1.25531
0.5,1.1958,1.26257
0.5,1.21678,1.26976
0.5,1.23776,1.27688
0.5,1.25873,1.28393
0.5,1.27971,1.2909
0.5,1.30069,1.29781
0.5,1.32167,1.30463
0.5,1.34265,1.31138
0.5,1.36363,1.31804
0.5,1.38461,1.32462
0.5,1.40559,1.33111
0.5,1.42657,1.33752
0.5,1.44755,1.34383
0.5,1.46852,1.35005
0.5,1.4895,1.35617
0.5,1.51048,1.36219
0.5,1.53146,1.36812
0.5,1.55244,1.37394
0.5,1.57342,1.37965
0.5,1.5944,1.38525
0.5,1.61538,1.39074
0.5,1.63636,1.39612
0.5,1.65733,1.40138
0.5,1.67831,1.40652
0.5,1.69929,1.41154
0.5,1.72027,1.41644
0.5,1.74125,1.4212
0.5,1.76223,1.42584
0.5,1.78321,1.43034
0.5,1.80419,1.4347
0.5,1.82517,1.43893
0.5,1.84614,1.44301
0.5,1.86712,1.44695
0.5,1.8881,1.45073
0.5,1.90908,1.45437
0.5,1.93006,1.45785
0.5,1.95104,1.46118
0.5,1.97202,1.46434
0.5,1.993,1.46734
0.5,2.01398,1.47017
0.5,2.03495,1.47283
0.5,2.05593,1.47532
0.5,2.07691,1.47763
0.5,2.09789,1.47976
0.5,2.11887,1.48171
0.5,2.13985,1.48347
0.5,2.16083,1.48504
0.5,2.18181,1.48642
0.5,2.20279,1.4876
0.5,2.22377,1.48858
0.5,2.24474,1.48936
0.5,2.26572,1.48993
0.5,2.2867,1.49029
0.5,2.30768,1.49043
0.5,2.32866,1.49036
0.5,2.34964,1.49007
0.5,2.37062,1.48956
0.5,2.3916,1.48882
0.5,2.41258,1.48785
0.5,2.43355,1.48664
0.5,2.45453,1.4852
0.5,2.47551,1.48352
0.5,2.49649,1.4816
0.5,2.51747,1.47943
0.5,2.53845,1.47702
0.5,2.55943,1.47435
0.5,2.58041,1.47142
0.5,2.60139,1.46824
0.5,2.62236,1.46481
0.5,2.64334,1.46111
0.5,2.66432,1.45714
0.5,2.6853,1.45291
0.5,2.70628,1.44841
0.5,2.72726,1.44364
0.5,2.74824,1.4386
0.5,2.76922,1.43329
0.5,2.7902,1.4277
0.5,2.81117,1.42183
0.5,2.83215,1.41569
0.5,2.85313,1.40928
0.5,2.87411,1.40259
0.5,2.89509,1.39562
0.5,2.91607,1.38837
0.5,2.93705,1.38085
0.5,2.95803,1.37305
0.5,2.97901,1.36498
0.5,2.99998,1.35664
0.5,3.02096,1.34803
0.5,3.04194,1.33916
0.5,3.06292,1.33002
0.5,3.0839,1.32062
0.5,3.10488,1.31096
0.5,3.12586,1.30106
0.5,3.14684,1.2909
0.5,3.16782,1.2805
0.5,3.1888,1.26987
0.5,3.20977,1.25901
0.5,3.23075,1.24792
0.5,3.25173,1.23662
0.5,3.27271,1.22511
0.5,3.29369,1.2134
0.5,3.31467,1.20149
0.5,3.33565,1.18941
0.5,3.35663,1.17715
0.5,3.37761,1.16473
0.5,3.39858,1.15215
0.5,3.41956,1.13944
0.5,3.44054,1.12659
0.5,3.46152,1.11362
0.5,3.4825,1.10055
0.5,3.50348,1.08738
0.5,3.52446,1.07412
0.5,3.54544,1.0608
0.5,3.56642,1.04742
0.5,3.58739,1.034
0.5,3.60837,1.02054
0.5,3.62935,1.00707
0.5,3.65033,0.993587
0.5,3.67131,0.980116
0.5,3.69229,0.966668
