t,x,u
0,0.530106,1.25281
0,0.532106,1.25367
0,0.534107,1.25454
0,0.536107,1.2554
0,0.538108,1.25626
0,0.540108,1.25711
0,0.542108,1.25797
0,0.544109,1.25883
0,0.546109,1.25968
0,0.54811,1.26054
0,0.55011,1.26139
0,0.55211,1.26224
0,0.554111,1.26309
0,0.556111,1.26394
0,0.558112,1.26479
0,0.560112,1.26564
0,0.562112,1.26649
0,0.564113,1.26733
0,0.566113,1.26818
0,0.568114,1.26902
0,0.570114,1.26986
0,0.572114,1.27071
0,0.574115,1.27155
0,0.576115,1.27239
0,0.578116,1.27322
0,0.580116,1.27406
0,0.582116,1.2749
0,0.584117,1.27573
0,0.586117,1.27657
0,0.588118,1.2774
0,0.590118,1.27823
0,0.592118,1.27906
0,0.594119,1.27989
0,0.596119,1.28072
0,0.59812,1.28154
0,0.60012,1.28237
0,0.60212,1.2832
0,0.604121,1.28402
0,0.606121,1.28484
0,0.608122,1.28566
0,0.610122,1.28648
0,0.612122,1.2873
0,0.614123,1.28812
0,0.616123,1.28894
0,0.618124,1.28975
0,0.620124,1.29057
0,0.622124,1.29138
0,0.624125,1.29219
0,0.626125,1.293
0,0.628126,1.29381
0,0.630126,1.29462
0,0.632126,1.29543
0,0.634127,1.29624
0,0.636127,1.29704
0,0.638128,1.29785
0,0.640128,1.29865
0,0.642128,1.29945
0,0.644129,1.30025
0,0.646129,1.30105
0,0.64813,1.30185
0,0.65013,1.30264
0,0.65213,1.30344
0,0.654131,1.30423
0,0.656131,1.30503
0,0.658132,1.30582
0,0.660132,1.30661
0,0.662132,1.3074
0,0.664133,1.30819
0,0.666133,1.30898
0,0.668134,1.30976
0,0.670134,1.31055
0,0.672134,1.31133
0,0.674135,1.31211
0,0.676135,1.31289
0,0.678136,1.31367
0,0.680136,1.31445
0,0.682136,1.31523
0,0.684137,1.316
0,0.686137,1.31678
0,0.688138,1.31755
0,0.690138,1.31832
0,0.692138,1.31909
0,0.694139,1.31986
0,0.696139,1.32063
0,0.69814,1.3214
0,0.70014,1.32216
0,0.70214,1.32293
0,0.704141,1.32369
0,0.706141,1.32445
0,0.708142,1.32521
0,0.710142,1.32597
0,0.712142,1.32673
0,0.714143,1.32748
0,0.716143,1.32824
0,0.718144,1.32899
0,0.720144,1.32975
0,0.722144,1.3305
0,0.724145,1.33125
0,0.726145,1.332
0,0.728146,1.33274
0,0.730146,1.33349
0,0.732146,1.33423
0,0.734147,1.33498
0,0.736147,1.33572
0,0.738148,1.33646
0,0.740148,1.3372
0,0.742148,1.33794
0,0.744149,1.33867
0,0.746149,1.33941
0,0.74815,1.34014
0,0.75015,1.34087
0,0.75215,1.34161
0,0.754151,1.34233
0,0.756151,1.34306
0,0.758152,1.34379
0,0.760152,1.34452
0,0.762152,1.34524
0,0.764153,1.34596
0,0.766153,1.34668
0,0.768154,1.3474
0,0.770154,1.34812
0,0.772154,1.34884
0,0.774155,1.34956
0,0.776155,1.35027
0,0.778156,1.35098
0,0.780156,1.3517
0,0.782156,1.35241
0,0.784157,1.35311
0,0.786157,1.35382
0,0.788158,1.35453
0,0.790158,1.35523
0,0.792158,1.35594
0,0.794159,1.35664
0,0.796159,1.35734
0,0.79816,1.35804
0,0.80016,1.35873
0,0.80216,1.35943
0,0.804161,1.36012
0,0.806161,1.36082
0,0.808162,1.36151
0,0.810162,1.3622
0,0.812162,1.36289
0,0.814163,1.36358
0,0.816163,1.36426
0,0.818164,1.36495
0,0.820164,1.36563
0,0.822164,1.36631
0,0.824165,1.36699
0,0.826165,1.36767
0,0.828166,1.36835
0,0.830166,1.36902
0,0.832166,1.3697
0,0.834167,1.37037
0,0.836167,1.37104
0,0.838168,1.37171
0,0.840168,1.37238
0,0.842168,1.37304
0,0.844169,1.37371
0,0.846169,1.37437
0,0.84817,1.37504
0,0.85017,1.3757
0,0.85217,1.37636
0,0.854171,1.37701
0,0.856171,1.37767
0,0.858172,1.37832
0,0.860172,1.37898
0,0.862172,1.37963
0,0.864173,1.38028
0,0.866173,1.38093
0,0.868174,1.38157
0,0.870174,1.38222
0,0.872174,1.38286
0,0.874175,1.38351
0,0.876175,1.38415
0,0.878176,1.38479
0,0.880176,1.38543
0,0.882176,1.38606
0,0.884177,1.3867
0,0.886177,1.38733
0,0.888178,1.38796
0,0.890178,1.38859
0,0.892178,1.38922
0,0.894179,1.38985
0,0.896179,1.39047
0,0.89818,1.3911
0,0.90018,1.39172
0,0.90218,1.39234
0,0.904181,1.39296
0,0.906181,1.39358
0,0.908182,1.39419
0,0.910182,1.39481
0,0.912182,1.39542
0,0.914183,1.39603
0,0.916183,1.39664
0,0.918184,1.39725
0,0.920184,1.39786
0,0.922184,1.39846
0,0.924185,1.39906
0,0.926185,1.39967
0,0.928186,1.40027
0,0.930186,1.40087
0,0.932186,1.40146
0,0.934187,1.40206
0,0.936187,1.40265
0,0.938188,1.40324
0,0.940188,1.40383
0,0.942188,1.40442
0,0.944189,1.40501
0,0.946189,1.4056
0,0.94819,1.40618
0,0.95019,1.40676
0,0.95219,1.40734
0,0.954191,1.40792
0,0.956191,1.4085
0,0.958192,1.40908
0,0.960192,1.40965
0,0.962192,1.41022
0,0.964193,1.41079
0,0.966193,1.41136
0,0.968194,1.41193
0,0.970194,1.4125
0,0.972194,1.41306
0,0.974195,1.41362
0,0.976195,1.41419
0,0.978196,1.41475
0,0.980196,1.4153
0,0.982196,1.41586
0,0.984197,1.41641
0,0.986197,1.41697
0,0.988198,1.41752
0,0.990198,1.41807
0,0.992198,1.41862
0,0.994199,1.41916
0,0.996199,1.41971
0,0.9982,1.42025
0,1.0002,1.42079
0,1.0022,1.42133
0,1.0042,1.42187
0,1.0062,1.4224
0,1.0082,1.42294
0,1.0102,1.42347
0,1.0122,1.424
0,1.0142,1.42453
0,1.0162,1.42506
0,1.0182,1.42558
0,1.0202,1.42611
0,1.0222,1.42663
0,1.0242,1.42715
0,1.02621,1.42767
0,1.02821,1.42819
0,1.03021,1.4287
0,1.03221,1.42922
0,1.03421,1.42973
0,1.03621,1.43024
0,1.03821,1.43075
0,1.04021,1.43125
0,1.04221,1.43176
0,1.04421,1.43226
0,1.04621,1.43277
0,1.04821,1.43327
0,1.05021,1.43376
0,1.05221,1.43426
0,1.05421,1.43476
0,1.05621,1.43525
0,1.05821,1.43574
0,1.06021,1.43623
0,1.06221,1.43672
0,1.06421,1.4372
0,1.06621,1.43769
0,1.06821,1.43817
0,1.07021,1.43865
0,1.07221,1.43913
0,1.07421,1.43961
0,1.07622,1.44008
0,1.07822,1.44056
0,1.08022,1.44103
0,1.08222,1.4415
0,1.08422,1.44197
0,1.08622,1.44244
0,1.08822,1.4429
0,1.09022,1.44336
0,1.09222,1.44383
0,1.09422,1.44429
0,1.09622,1.44474
0,1.09822,1.4452
0,1.10022,1.44565
0,1.10222,1.44611
0,1.10422,1.44656
0,1.10622,1.44701
0,1.10822,1.44745
0,1.11022,1.4479
0,1.11222,1.44834
0,1.11422,1.44878
0,1.11622,1.44922
0,1.11822,1.44966
0,1.12022,1.4501
0,1.12222,1.45053
0,1.12422,1.45097
0,1.12623,1.4514
0,1.12823,1.45183
0,1.13023,1.45225
0,1.13223,1.45268
0,1.13423,1.4531
0,1.13623,1.45353
0,1.13823,1.45395
0,1.14023,1.45436
0,1.14223,1.45478
0,1.14423,1.4552
0,1.14623,1.45561
0,1.14823,1.45602
0,1.15023,1.45643
0,1.15223,1.45684
0,1.15423,1.45724
0,1.15623,1.45765
0,1.15823,1.45805
0,1.16023,1.45845
0,1.16223,1.45885
0,1.16423,1.45924
0,1.16623,1.45964
0,1.16823,1.46003
0,1.17023,1.46042
0,1.17223,1.46081
0,1.17423,1.4612
0,1.17624,1.46158
0,1.17824,1.46197
0,1.18024,1.46235
0,1.18224,1.46273
0,1.18424,1.46311
0,1.18624,1.46348
0,1.18824,1.46386
0,1.19024,1.46423
0,1.19224,1.4646
0,1.19424,1.46497
0,1.19624,1.46533
0,1.19824,1.4657
0,1.20024,1.46606
0,1.20224,1.46642
0,1.20424,1.46678
0,1.20624,1.46714
0,1.20824,1.4675
0,1.21024,1.46785
0,1.21224,1.4682
0,1.21424,1.46855
0,1.21624,1.4689
0,1.21824,1.46925
0,1.22024,1.46959
0,1.22224,1.46993
0,1.22424,1.47027
0,1.22625,1.47061
0,1.22825,1.47095
0,1.23025,1.47129
0,1.23225,1.47162
0,1.23425,1.47195
0,1.23625,1.47228
0,1.23825,1.47261
0,1.24025,1.47293
0,1.24225,1.47326
0,1.24425,1.47358
0,1.24625,1.4739
0,1.24825,1.47422
0,1.25025,1.47453
0,1.25225,1.47485
0,1.25425,1.47516
0,1.25625,1.47547
0,1.25825,1.47578
0,1.26025,1.47608
0,1.26225,1.47639
0,1.26425,1.47669
0,1.26625,1.47699
0,1.26825,1.47729
0,1.27025,1.47759
0,1.27225,1.47788
0,1.27425,1.47818
0,1.27626,1.47847
0,1.27826,1.47876
0,1.28026,1.47904
0,1.28226,1.47933
0,1.28426,1.47961
0,1.28626,1.4799
0,1.28826,1.48018
0,1.29026,1.48045
0,1.29226,1.48073
0,1.29426,1.481
0,1.29626,1.48128
0,1.29826,1.48155
0,1.30026,1.48181
0,1.30226,1.48208
0,1.30426,1.48234
0,1.30626,1.48261
0,1.30826,1.48287
0,1.31026,1.48313
0,1.31226,1.48338
0,1.31426,1.48364
0,1.31626,1.48389
0,1.31826,1.48414
0,1.32026,1.48439
0,1.32226,1.48464
0,1.32426,1.48488
0,1.32627,1.48513
0,1.32827,1.48537
0,1.33027,1.48561
0,1.33227,1.48584
0,1.33427,1.48608
0,1.33627,1.48631
0,1.33827,1.48654
0,1.34027,1.48677
0,1.34227,1.487
0,1.34427,1.48723
0,1.34627,1.48745
0,1.34827,1.48767
0,1.35027,1.48789
0,1.35227,1.48811
0,1.35427,1.48832
0,1.35627,1.48854
0,1.35827,1.48875
0,1.36027,1.48896
0,1.36227,1.48917
0,1.36427,1.48937
0,1.36627,1.48958
0,1.36827,1.48978
0,1.37027,1.48998
0,1.37227,1.49018
0,1.37427,1.49038
0,1.37628,1.49057
0,1.37828,1.49076
0,1.38028,1.49095
0,1.38228,1.49114
0,1.38428,1.49133
0,1.38628,1.49151
0,1.38828,1.49169
0,1.39028,1.49188
0,1.39228,1.49205
0,1.39428,1.49223
0,1.39628,1.49241
0,1.39828,1.49258
0,1.40028,1.49275
0,1.40228,1.49292
0,1.40428,1.49308
0,1.40628,1.49325
0,1.40828,1.49341
0,1.41028,1.49357
0,1.41228,1.49373
0,1.41428,1.49389
0,1.41628,1.49404
0,1.41828,1.4942
0,1.42028,1.49435
0,1.42228,1.4945
0,1.42428,1.49464
0,1.42629,1.49479
0,1.42829,1.49493
0,1.43029,1.49507
0,1.43229,1.49521
0,1.43429,1.49535
0,1.43629,1.49548
0,1.43829,1.49562
0,1.44029,1.49575
0,1.44229,1.49588
0,1.44429,1.496
0,1.44629,1.49613
0,1.44829,1.49625
0,1.45029,1.49637
0,1.45229,1.49649
0,1.45429,1.49661
0,1.45629,1.49673
0,1.45829,1.49684
0,1.46029,1.49695
0,1.46229,1.49706
0,1.46429,1.49717
0,1.46629,1.49727
0,1.46829,1.49738
0,1.47029,1.49748
0,1.47229,1.49758
0,1.47429,1.49767
0,1.4763,1.49777
0,1.4783,1.49786
0,1.4803,1.49795
0,1.4823,1.49804
0,1.4843,1.49813
0,1.4863,1.49822
0,1.4883,1.4983
0,1.4903,1.49838
0,1.4923,1.49846
0,1.4943,1.49854
0,1.4963,1.49861
0,1.4983,1.49869
0,1.5003,1.49876
0,1.5023,1.49883
0,1.5043,1.49889
0,1.5063,1.49896
0,1.5083,1.49902
0,1.5103,1.49909
0,1.5123,1.49914
0,1.5143,1.4992
0,1.5163,1.49926
0,1.5183,1.49931
0,1.5203,1.49936
0,1.5223,1.49941
0,1.5243,1.49946
0,1.52631,1.49951
0,1.52831,1.49955
0,1.53031,1.49959
0,1.53231,1.49963
0,1.53431,1.49967
0,1.53631,1.4997
0,1.53831,1.49974
0,1.54031,1.49977
0,1.54231,1.4998
0,1.54431,1.49982
0,1.54631,1.49985
0,1.54831,1.49987
0,1.55031,1.4999
0,1.55231,1.49991
0,1.55431,1.49993
0,1.55631,1.49995
0,1.55831,1.49996
0,1.56031,1.49997
0,1.56231,1.49998
0,1.56431,1.49999
0,1.56631,1.49999
0,1.56831,1.5
0,1.57031,1.5
0,1.57231,1.5
0,1.57431,1.5
0,1.57632,1.49999
0,1.57832,1.49999
0,1.58032,1.49998
0,1.58232,1.49997
0,1.58432,1.49995
0,1.58632,1.49994
0,1.58832,1.49992
0,1.59032,1.4999
0,1.59232,1.49988
0,1.59432,1.49986
0,1.59632,1.49984
0,1.59832,1.49981
0,1.60032,1.49978
0,1.60232,1.49975
0,1.60432,1.49972
0,1.60632,1.49968
0,1.60832,1.49965
0,1.61032,1.49961
0,1.61232,1.49957
0,1.61432,1.49953
0,1.61632,1.49948
0,1.61832,1.49944
0,1.62032,1.49939
0,1.62232,1.49934
0,1.62432,1.49928
0,1.62633,1.49923
0,1.62833,1.49917
0,1.63033,1.49911
0,1.63233,1.49905
0,1.63433,1.49899
0,1.63633,1.49893
0,1.63833,1.49886
0,1.64033,1.49879
0,1.64233,1.49872
0,1.64433,1.49865
0,1.64633,1.49857
0,1.64833,1.4985
0,1.65033,1.49842
0,1.65233,1.49834
0,1.65433,1.49826
0,1.65633,1.49817
0,1.65833,1.49809
0,1.66033,1.498
0,1.66233,1.49791
0,1.66433,1.49781
0,1.66633,1.49772
0,1.66833,1.49762
0,1.67033,1.49753
0,1.67233,1.49742
0,1.67433,1.49732
0,1.67634,1.49722
0,1.67834,1.49711
0,1.68034,1.497
0,1.68234,1.49689
0,1.68434,1.49678
0,1.68634,1.49667
0,1.68834,1.49655
0,1.69034,1.49643
0,1.69234,1.49631
0,1.69434,1.49619
0,1.69634,1.49606
0,1.69834,1.49594
0,1.70034,1.49581
0,1.70234,1.49568
0,1.70434,1.49555
0,1.70634,1.49541
0,1.70834,1.49528
0,1.71034,1.49514
0,1.71234,1.495
0,1.71434,1.49486
0,1.71634,1.49471
0,1.71834,1.49457
0,1.72034,1.49442
0,1.72234,1.49427
0,1.72434,1.49412
0,1.72635,1.49396
0,1.72835,1.49381
0,1.73035,1.49365
0,1.73235,1.49349
0,1.73435,1.49333
0,1.73635,1.49316
0,1.73835,1.493
0,1.74035,1.49283
0,1.74235,1.49266
0,1.74435,1.49249
0,1.74635,1.49232
0,1.74835,1.49214
0,1.75035,1.49196
0,1.75235,1.49178
0,1.75435,1.4916
0,1.75635,1.49142
0,1.75835,1.49123
0,1.76035,1.49104
0,1.76235,1.49085
0,1.76435,1.49066
0,1.76635,1.49047
0,1.76835,1.49027
0,1.77035,1.49008
0,1.77235,1.48988
0,1.77435,1.48968
0,1.77636,1.48947
0,1.77836,1.48927
0,1.78036,1.48906
0,1.78236,1.48885
0,1.78436,1.48864
0,1.78636,1.48843
0,1.78836,1.48821
0,1.79036,1.488
0,1.79236,1.48778
0,1.79436,1.48756
0,1.79636,1.48733
0,1.79836,1.48711
0,1.80036,1.48688
0,1.80236,1.48665
0,1.80436,1.48642
0,1.80636,1.48619
0,1.80836,1.48596
0,1.81036,1.48572
0,1.81236,1.48548
0,1.81436,1.48524
0,1.81636,1.485
0,1.81836,1.48476
0,1.82036,1.48451
0,1.82236,1.48426
0,1.82436,1.48401
0,1.82637,1.48376
0,1.82837,1.48351
0,1.83037,1.48325
0,1.83237,1.48299
0,1.83437,1.48273
0,1.83637,1.48247
0,1.83837,1.48221
0,1.84037,1.48194
0,1.84237,1.48168
0,1.84437,1.48141
0,1.84637,1.48113
0,1.84837,1.48086
0,1.85037,1.48059
0,1.85237,1.48031
0,1.85437,1.48003
0,1.85637,1.47975
0,1.85837,1.47947
0,1.86037,1.47918
0,1.86237,1.4789
0,1.86437,1.47861
0,1.86637,1.47832
0,1.86837,1.47802
0,1.87037,1.47773
0,1.87237,1.47743
0,1.87437,1.47714
0,1.87638,1.47684
0,1.87838,1.47653
0,1.88038,1.47623
0,1.88238,1.47593
0,1.88438,1.47562
0,1.88638,1.47531
0,1.88838,1.475
0,1.89038,1.47468
0,1.89238,1.47437
0,1.89438,1.47405
0,1.89638,1.47373
0,1.89838,1.47341
0,1.90038,1.47309
0,1.90238,1.47276
0,1.90438,1.47244
0,1.90638,1.47211
0,1.90838,1.47178
0,1.91038,1.47145
0,1.91238,1.47111
0,1.91438,1.47078
0,1.91638,1.47044
0,1.91838,1.4701
0,1.92038,1.46976
0,1.92238,1.46941
0,1.92438,1.46907
0,1.92639,1.46872
0,1.92839,1.46837
0,1.93039,1.46802
0,1.93239,1.46767
0,1.93439,1.46731
0,1.93639,1.46696
0,1.93839,1.4666
0,1.94039,1.46624
0,1.94239,1.46588
